Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Country of origin,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
single,2nd phase - general contingent,"""5""",Animation and Multimedia Design,daytime,Secondary education,122.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Other - 11th Year of Schooling,"Personal Services, Security and Safety Workers, and Sellers",Unskilled Workers,127.3,True,False,False,True,male,False,20,False,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,International student (bachelor),"""1""",Tourism,daytime,Secondary education,160.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,142.5,True,False,False,False,male,False,19,False,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,"""5""",Communication Design,daytime,Secondary education,122.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,Unskilled Workers,124.8,True,False,False,False,male,False,19,False,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,2nd phase - general contingent,"""2""",Journalism and Communication,daytime,Secondary education,122.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers",Intermediate Level Technicians and Professions,119.6,True,False,False,True,female,False,20,False,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate
married,Over 23 years old,"""1""",Social Service (evening attendance),evening,Secondary education,100.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,141.5,False,False,False,True,female,False,45,False,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate
married,Over 23 years old,"""1""",Management (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",114.8,False,False,True,True,male,False,50,False,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,"""1""",Nursing,daytime,Secondary education,142.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction, and Craftsmen",Armed Forces Professions,128.4,True,False,False,True,female,True,18,False,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate
single,3rd phase - general contingent,"""4""",Tourism,daytime,Secondary education,119.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,Unskilled Workers,113.1,True,False,False,False,male,False,22,False,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
single,1st phase - general contingent,"""3""",Social Service,daytime,Secondary education,137.0,Romania,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,129.3,False,False,False,True,female,True,21,True,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,"""1""",Social Service,daytime,Secondary education,138.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative Staff,"Skilled Workers in Industry, Construction, and Craftsmen",123.0,True,False,True,False,female,False,18,False,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout
single,1st phase - general contingent,"""1""",Advertising and Marketing Management,daytime,Secondary education,139.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers","Skilled Workers in Industry, Construction, and Craftsmen",130.6,True,False,False,True,female,False,18,False,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,"""1""",Nursing,daytime,Secondary education,136.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,119.3,True,False,False,True,female,True,18,False,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,"""2""",Basic Education,daytime,Secondary education,133.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Administrative Staff,Unskilled Workers,130.2,True,False,False,True,female,False,19,False,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
single,Short cycle diploma holders,"""1""",Tourism,daytime,Professional higher technical course,110.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative Staff,"Skilled Workers in Industry, Construction, and Craftsmen",111.8,True,False,False,True,female,True,21,False,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,"""1""",Veterinary Nursing,daytime,Secondary education,149.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",137.1,True,False,False,True,female,True,18,False,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,"""1""",Journalism and Communication,daytime,Secondary education,127.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,120.7,True,False,False,True,female,False,20,False,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout
single,3rd phase - general contingent,"""1""",Social Service,daytime,Secondary education,137.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers",Installation and Machine Operators and Assembly Workers,137.4,True,False,False,True,female,False,18,False,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled
single,2nd phase - general contingent,"""2""",Nursing,daytime,Secondary education,135.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers, and Sellers",Administrative Staff,127.3,True,False,False,True,female,False,18,False,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate
single,1st phase - general contingent,"""1""",Equinculture,daytime,Secondary education,137.0,Portugal,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers, and Sellers",136.3,True,False,False,True,female,False,20,False,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,"""1""",Basic Education,daytime,Secondary education,140.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",124.6,True,False,False,True,female,False,18,False,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled
single,1st phase - general contingent,"""3""",Animation and Multimedia Design,daytime,Secondary education,122.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,120.3,False,False,False,True,female,True,21,False,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate
single,3rd phase - general contingent,"""4""",Oral Hygiene,daytime,Secondary education,127.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative Staff,"Skilled Workers in Industry, Construction, and Craftsmen",121.8,True,False,False,True,female,False,20,False,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled
single,1st phase - general contingent,"""4""",Nursing,daytime,Secondary education,142.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Legislative Power, Executive Bodies, Directors, and Executive Managers","Legislative Power, Executive Bodies, Directors, and Executive Managers",125.5,True,False,False,True,female,False,18,False,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,"""4""",Advertising and Marketing Management,daytime,Secondary education,125.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative Staff,"Skilled Workers in Industry, Construction, and Craftsmen",114.9,True,False,False,True,female,True,19,False,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,"""1""",Nursing,daytime,Secondary education,126.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction, and Craftsmen",123.9,False,False,False,True,female,False,19,False,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Graduate
